#OTU	dummy
3ea9b395d7ea72e4182e40df170ab442	1
4063f430cc70d21fb5833b94642bc86e	1
4c45942d9a7a0f21022f0d082e93c3ca	1
4d70285b21c1dc71272fdca37b01d460	1
50c0b007718da306461979dcbd90ff3e	1
52f7828830370adf33a3d46ac85e9398	1
5475867a45b4225320683bd52b93b6f6	1
57d46908810b3867b65b29c3ec49a1a7	1
5a618624dd645880049c42c39b3863cb	1
5c1fd009ca7a57957f78c1967a6f8f8d	1
5d096318bfca5a9e34c622bd884c94de	1
6e456d8d6e964bcc211c14d1a1921d76	1
70bbbcf0a95eee3a0c928f407472d95e	1
7294952ec8115524e12e068f641c972f	1
7308f17369933bf1488ac77e8ab10e30	1
74347d50ad8753b9a1ad3697633b515c	1
779d83a399395cfb2bedd47b34715485	1
77b462b20768b52a39f7e1d825e10be9	1
78feb8ed8901b6910e939a1339cf71b9	1
7eb692dbbb4cb4466e40e3d74fd867da	1
7fa30c60c0408c36fecede67a8e256d9	1
8004df555b5bb21d8fc9d0cfc6b77c02	1
80e94bddcb4eac24a26d76628e5d540b	1
82d3a035ce9303f402d8ef173a380efd	1
866128cd98f4d36efd3d91708afbc187	1
872b93aae58ce7477965ac8902d75e21	1
87ab930682e9bc3ae09a9cfd13c59e08	1
8b4ded22ab2d9cd8ca78bee24297ce9d	1
8e2510bdfcf7023cebe99bb5deda55cb	1
8e278ca9716cec4509ce8f7cebb2fdf6	1
93271b2315c3890ae2c077f0d59cb30c	1
9534f581b8e43c7ad0e5c63db7e846de	1
95b0ccc4c592e02b7dd23fa50148a76f	1
a2d7dd239855a7770426b23f26f8e10e	1
a88ae00a82a4618c26f5ff64392c4504	1
accddc7d342fd37f5a2a244d34d4bc4d	1
b65fc8642c67c771b3cbcca93b6aebf7	1
bcc1063c272f41d2009c215d1c1049e2	1
be19edaf6c66c772930381d6216d3d3b	1
c10485a3f11c4ea5b4e1ec2179aeba6a	1
c37ae36edc25114de950f9537c2a7e4f	1
c3c8820a39b7dcfd9a9d908f00eacbac	1
c811c0a9f32bd8075f9421d6ece02a55	1
c9802ae79be3fa300bef61e7e313820f	1
